pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
141.0,-133.6,90.0,top,BZ1,,,Buzzer_12x9.5RM7.6,Buzzer,tht
138.925,-117.6,180.0,top,C1,,,C_0603_1608Metric,0.1uF,smt
140.475,-116.0,180.0,top,C2,,,C_0603_1608Metric,0.1uF,smt
147.25,-114.75,90.0,top,J1,,,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,Conn_01x04,tht
113.85,-86.26,-90.0,top,LED1,,,LED_D4.0mm,LED,tht
123.85,-86.26,-90.0,top,LED2,,,LED_D4.0mm,LED,tht
133.85,-86.26,-90.0,top,LED3,,,LED_D4.0mm,LED,tht
143.85,-86.26,-90.0,top,LED4,,,LED_D4.0mm,LED,tht
111.0,-115.54,90.0,top,LED5,,,LED_D4.0mm,LED,tht
121.0,-115.54,90.0,top,LED6,,,LED_D4.0mm,LED,tht
131.0,-115.54,90.0,top,LED7,,,LED_D4.0mm,LED,tht
118.2,-88.75,0.0,top,R1,,,R_0603_1608Metric,430,smt
142.75,-113.0,0.0,top,R12,,,R_0603_1608Metric,10k,smt
128.175,-88.75,0.0,top,R2,,,R_0603_1608Metric,430,smt
138.175,-88.75,0.0,top,R3,,,R_0603_1608Metric,430,smt
147.6,-88.825,-90.0,top,R4,,,R_0603_1608Metric,430,smt
115.325,-112.0,0.0,top,R5,,,R_0603_1608Metric,430,smt
125.325,-112.0,0.0,top,R6,,,R_0603_1608Metric,430,smt
135.325,-112.0,0.0,top,R7,,,R_0603_1608Metric,430,smt
143.5,-115.75,90.0,top,R8,,,R_0603_1608Metric,10k,smt
144.25,-119.75,0.0,top,R9,,,R_0603_1608Metric,10k,smt
141.062512,-120.338142,0.0,top,U1,,,QFN40P180X260X55-16N,TCA6408ARSVR,smt
138.918312,-113.669838,180.0,top,U2,,,SOT65P210X110-5N,TLV70033DCKR,smt
